username,session,class,mean_time,std_time,median_time,min_time,max_time,q1_time,q3_time,q10_time,q90_time,iqr,range_time,cv,skewness,kurtosis,mean_rolling_mean,std_rolling_mean,mean_rolling_std,rhythm_consistency,total_time,num_keys
karma,1,1,165.34598534425797,21.791116754199987,159.23011690085787,133.07812666636974,209.05935959609081,150.99719372828977,173.71503986447277,144.19519957243304,199.93548228019708,22.717846136183,75.98123292972107,0.1317910241898518,0.6790341683863685,2.584607354390261,161.61308107173795,7.085738647055631,15.480125379588912,34.090466421736394,1984.1518241310957,12
karma,2,1,168.0474051432423,15.86474529665085,165.82965012097029,148.92347326690557,205.9296456543834,155.13783442054248,177.56984201524742,150.77404538063365,183.79878119342817,22.43200759470494,57.00617238747782,0.09440636874534222,0.8959673074166482,3.23373049037204,163.4874651583483,7.630134492199196,12.028345811873733,17.453959336062848,2016.5688617189076,12
karma,3,1,177.76376986439075,21.366642222045563,171.83862193696535,142.522704018919,234.62850131339417,168.4704806995959,183.9369543625234,163.25958885252444,195.19421191456945,15.466473662927513,92.10579729447517,0.12019683334993045,1.2008397618300541,4.879133740351961,173.5198424676465,10.268456262224555,15.922132362743003,25.752250453910445,2133.165238372689,12
karma,4,1,164.3118257819085,22.95795758435711,166.8490081398602,132.32771805043058,214.97784974653715,145.58988745834395,178.04359904004474,139.11073674345056,180.17262566907408,32.45371158170079,82.65013169610657,0.13972188231192356,0.49992421727541675,2.6138671867431897,160.05156264146464,8.20752046805929,18.426340378613208,30.67904045199628,1971.7419093829021,12
karma,5,1,165.52883709849996,22.55019536164607,164.34194555637214,128.02521163190636,201.84309728630217,157.17106861816944,181.91332205362139,131.5932865798863,194.69467619371218,24.742253435451943,73.81788565439581,0.13623121962868198,-0.164984620264323,2.1299703283120697,161.7969983630174,10.05130947315618,18.43820073066714,28.512612429790437,1986.3460451819997,12
karma,6,1,169.5506444330332,19.580416791792484,169.92759542758654,136.08786859375527,200.69377411292402,155.03281030695288,184.95426149217485,147.57156891495978,193.90637727325634,29.92145118522197,64.60590551916874,0.1154841779414533,-0.021153509196567926,1.8062348077729584,164.264736417831,8.206014033977658,17.059641597400763,23.624913590384608,2034.6077331963984,12
karma,7,1,159.50278079920716,19.77678978094581,150.57459177547605,138.510900196706,204.3642946369382,144.58107218733574,169.8717634091579,139.74628913564624,183.11718152912326,25.290691221822158,65.85339444023222,0.12399025071445095,0.9216266000664056,2.758066511876106,155.8183087905973,11.269340280301494,13.450355871630052,20.34253301094124,1914.0333695904858,12
karma,8,1,164.66042066230153,17.517186497859573,164.68780790950706,139.97782698319583,188.48520525440176,150.20100270182505,182.30061999324556,141.10090884872642,186.74826016586152,32.099617291420515,48.50737827120594,0.10638371035007367,-0.006046575697448819,1.526763224283912,158.05149645582858,7.159907226300165,13.628158894324796,18.480923569951496,1975.9250479476184,12
karma,9,1,165.80818208152934,17.41898323089507,160.69886785224458,147.5227486411493,208.55669661244693,153.63297039503752,169.34891082963443,148.59430566397398,186.50881096639282,15.715940434596916,61.033947971297636,0.10505502811875714,1.2035484186155636,3.5202514616839493,161.81126196892444,7.428637248175681,12.559269965836569,22.380792734414445,1989.698184978352,12
karma,10,1,159.52506605843374,24.825678381115907,154.96116985817474,130.52391111921227,212.6612893439154,141.01198307872147,165.14204478510146,133.74810367714514,200.71857352136712,24.13006170637999,82.13737822470313,0.15562242971911577,0.9879663522403112,2.944989821657923,155.12738945273458,5.622165755502352,20.624963849651607,39.353218605992254,1914.300792701205,12
